epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,805.014,0.70682,1.09371,0.9792,1.02961,0,0.79257,0.93903,0.92072,0.73324,0.79257,0.93903,0.92072,0.80135,0.76995,0.67948,1.09816,0.86956,0,0.0003367,0.0003367,0.0003367
69,817.763,0.70655,0.92854,0.93349,1.01659,0,0.79478,0.95455,0.91686,0.6988,0.79478,0.95455,0.91686,0.79279,0.78896,0.66268,1.12305,0.87235,0,0.0003268,0.0003268,0.0003268
70,829.892,0.74978,1.08303,0.9692,1.04573,0,0.81504,0.80851,0.90293,0.70142,0.86011,0.85706,0.92293,0.81113,0.79156,0.7057,1.10267,0.87183,0,0.0003169,0.0003169,0.0003169
71,841.069,0.7379,1.17357,0.9577,1.0203,0,0.95085,0.75048,0.9104,0.72099,0.8569,0.85805,0.92576,0.81025,0.7952,0.73322,1.08968,0.87655,0,0.000307,0.000307,0.000307
72,853.262,0.73422,1.03121,0.92942,1.00589,0,0.83038,0.89318,0.92719,0.7184,0.83038,0.89318,0.92719,0.7828,0.79274,0.78877,1.0548,0.89235,0,0.0002971,0.0002971,0.0002971
73,865.795,0.68332,0.87866,0.89592,1.00166,0,0.94347,0.94299,0.94918,0.74664,0.94347,0.94299,0.94918,0.81885,0.80787,0.74641,0.96953,0.91541,0,0.0002872,0.0002872,0.0002872
74,877.704,0.69329,0.91325,0.92877,1.00243,0,0.94518,0.94258,0.94961,0.74472,0.94518,0.94258,0.94961,0.83223,0.81727,0.71242,0.93475,0.92049,0,0.0002773,0.0002773,0.0002773
75,889.758,0.72272,1.04467,0.97242,1.01349,0,0.9351,0.92552,0.94902,0.75437,0.9351,0.92552,0.94902,0.83426,0.79952,0.69492,0.87966,0.91522,0,0.0002674,0.0002674,0.0002674
76,901.689,0.70548,1.05913,0.94478,0.99192,0,0.97087,0.91871,0.95423,0.7548,0.97087,0.91871,0.95423,0.80936,0.79373,0.6827,0.86828,0.90623,0,0.0002575,0.0002575,0.0002575
77,914.476,0.71878,0.98498,0.8983,1.00012,0,0.94914,0.91752,0.95399,0.75829,0.94914,0.91752,0.95399,0.81768,0.76984,0.71433,0.84978,0.87665,0,0.0002476,0.0002476,0.0002476
78,927.329,0.76831,1.07264,0.96925,1.04616,0,0.92465,0.93739,0.95739,0.74761,0.92465,0.93739,0.95739,0.82962,0.76674,0.67688,0.82302,0.86572,0,0.0002377,0.0002377,0.0002377
79,939.563,0.72024,1.01924,0.90273,1.01082,0,0.88993,0.94557,0.95678,0.75158,0.88993,0.94557,0.95678,0.83486,0.77833,0.65581,0.83942,0.86105,0,0.0002278,0.0002278,0.0002278
80,952.037,0.66663,0.84843,0.89067,0.99737,0,0.93908,0.93165,0.95319,0.74287,0.93908,0.93165,0.95319,0.82956,0.78673,0.66708,0.87115,0.86084,0,0.0002179,0.0002179,0.0002179
81,964.239,0.75419,1.16332,0.95344,1.01342,0,0.91606,0.94259,0.94864,0.74417,0.91606,0.94259,0.94864,0.81883,0.77961,0.66034,0.88957,0.86036,0,0.000208,0.000208,0.000208
82,976.296,0.77462,1.25308,0.9688,1.04465,0,0.91461,0.93561,0.95137,0.75167,0.91461,0.93561,0.95137,0.82386,0.76771,0.66072,0.90042,0.86075,0,0.0001981,0.0001981,0.0001981
